(10000, 18, 50, 8, 3)
(10001, 51, 3, 8, 4)
(10002, 24, 64, 6, 4)
(10003, 6, 50, 2, 5)
(10004, 20, 62, 2, 7)
(10005, 38, 4, 8, 6)
(10006, 37, 4, 8, 2)
(10007, 55, 16, 2, 6)
(10008, 23, 63, 8, 7)
(10010, 59, 7, 8, 4)
(10011, 19, 63, 6, 6)
(10012, 37, 3, 6, 5)
(10013, 23, 57, 8, 2)
(10014, 17, 53, 2, 4)
(10015, 57, 25, 2, 3)
(10016, 18, 53, 2, 5)
(10017, 47, 2, 8, 7)
(10018, 6, 47, 8, 1)
(10019, 33, 1, 4, 6)
(10020, 2, 58, 2, 7)
(10021, 31, 64, 2, 3)
(10022, 8, 63, 6, 7)
(10023, 1, 42, 8, 10)
(10024, 29, 61, 8, 7)
(10025, 53, 1, 8, 9)
(10026, 3, 35, 8, 4)
(10027, 7, 46, 6, 8)
(10028, 34, 1, 2, 8)
(10029, 21, 62, 6, 4)
(10030, 36, 3, 4, 7)
(10031, 1, 61, 4, 1)
(10032, 19, 57, 8, 2)
(10033, 53, 1, 4, 2)
(10034, 52, 10, 8, 8)
(10035, 37, 3, 6, 3)
(10036, 59, 12, 8, 4)
(10037, 14, 49, 8, 4)
(10038, 4, 41, 8, 2)
(10039, 40, 2, 6, 2)
(10040, 63, 27, 8, 5)
(10041, 26, 63, 2, 3)
(10042, 45, 4, 4, 6)
(10043, 23, 55, 8, 9)
(10044, 32, 64, 4, 8)
(10045, 56, 20, 2, 2)
(10046, 52, 5, 2, 8)
(10047, 61, 14, 2, 7)
(10048, 47, 4, 8, 7)
(10049, 51, 7, 6, 2)
(10050, 5, 48, 2, 10)
(10051, 62, 26, 8, 7)
(10052, 18, 59, 4, 9)
(10053, 41, 6, 8, 5)
(10054, 34, 2, 8, 7)
(10055, 13, 47, 6, 6)
(10056, 12, 54, 2, 10)
(10057, 8, 45, 4, 1)
(10058, 58, 17, 2, 1)
(10059, 39, 1, 2, 6)
(10060, 47, 8, 4, 2)
(10061, 35, 1, 6, 7)
(10062, 35, 1, 6, 4)
(10063, 46, 4, 2, 2)
(10064, 53, 16, 8, 10)
(10065, 9, 49, 8, 3)
(10066, 42, 9, 6, 4)
(10067, 17, 57, 8, 5)
(10068, 29, 64, 2, 1)
(10069, 36, 1, 8, 8)
(10070, 63, 22, 4, 9)
(10071, 44, 4, 2, 9)
(10072, 44, 5, 6, 6)
(10073, 55, 11, 2, 3)
(10074, 29, 64, 8, 8)
(10075, 49, 4, 2, 3)
(10076, 44, 4, 8, 5)
(10077, 27, 62, 2, 3)
(10078, 17, 63, 6, 3)
(10079, 44, 8, 2, 2)
(10080, 49, 17, 6, 6)
(10081, 28, 61, 2, 10)
(10082, 18, 58, 8, 1)
(10083, 27, 62, 2, 5)
(10084, 25, 60, 8, 2)
(10085, 38, 2, 6, 2)
(10086, 57, 13, 8, 10)
(10087, 26, 64, 4, 3)
(10088, 22, 56, 8, 1)
(10089, 41, 9, 2, 5)
(10090, 19, 60, 6, 7)
(10091, 22, 64, 6, 6)
(10092, 7, 41, 2, 3)
(10093, 20, 63, 8, 10)
(10094, 25, 59, 4, 10)
(10095, 41, 1, 4, 3)
(10096, 59, 5, 2, 3)
(10097, 42, 7, 8, 5)
(10098, 16, 60, 6, 2)
